raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1998_2,1998,2,Brazilian Grand Prix,1998-03-29,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1998_3,1998,3,Argentine Grand Prix,1998-04-12,galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
1998_4,1998,4,San Marino Grand Prix,1998-04-26,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1998_5,1998,5,Spanish Grand Prix,1998-05-10,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1998_6,1998,6,Monaco Grand Prix,1998-05-24,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1998_7,1998,7,Canadian Grand Prix,1998-06-07,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1998_8,1998,8,French Grand Prix,1998-06-28,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1998_9,1998,9,British Grand Prix,1998-07-12,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1998_10,1998,10,Austrian Grand Prix,1998-07-26,red_bull_ring,Red Bull Ring,Austria,47.2197,14.7647
1998_11,1998,11,German Grand Prix,1998-08-02,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1998_12,1998,12,Hungarian Grand Prix,1998-08-16,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1998_13,1998,13,Belgian Grand Prix,1998-08-30,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1998_14,1998,14,Italian Grand Prix,1998-09-13,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1998_15,1998,15,Luxembourg Grand Prix,1998-09-27,nurburgring,Nürburgring,Germany,50.3356,6.9475
1998_16,1998,16,Japanese Grand Prix,1998-11-01,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1999_1,1999,1,Australian Grand Prix,1999-03-07,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
1999_2,1999,2,Brazilian Grand Prix,1999-04-11,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1999_3,1999,3,San Marino Grand Prix,1999-05-02,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1999_4,1999,4,Monaco Grand Prix,1999-05-16,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1999_5,1999,5,Spanish Grand Prix,1999-05-30,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1999_6,1999,6,Canadian Grand Prix,1999-06-13,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1999_7,1999,7,French Grand Prix,1999-06-27,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1999_8,1999,8,British Grand Prix,1999-07-11,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1999_9,1999,9,Austrian Grand Prix,1999-07-25,red_bull_ring,Red Bull Ring,Austria,47.2197,14.7647
1999_10,1999,10,German Grand Prix,1999-08-01,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1999_11,1999,11,Hungarian Grand Prix,1999-08-15,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1999_12,1999,12,Belgian Grand Prix,1999-08-29,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1999_13,1999,13,Italian Grand Prix,1999-09-12,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1999_14,1999,14,European Grand Prix,1999-09-26,nurburgring,Nürburgring,Germany,50.3356,6.9475
1999_15,1999,15,Malaysian Grand Prix,1999-10-17,sepang,Sepang International Circuit,Malaysia,2.76083,101.738
1999_16,1999,16,Japanese Grand Prix,1999-10-31,suzuka,Suzuka Circuit,Japan,34.8431,136.541
2000_1,2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
2000_2,2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
2000_3,2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
